station,year,latitude,longitude,elevation,name,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USC00084412,2024,25.1936,-80.3492,1.8,JOHN PENNEKAMP SP,,6.375,,,,30.46875,22.704761904761902,
USC00084461,2022,26.86,-80.0553,1.5,JUNO BEACH,,7.555555555555555,,,,25.660000000000004,11.675,
USC00084461,2023,26.86,-80.0553,1.5,JUNO BEACH,,0.0,,,,23.9,15.25,
USC00084461,2024,26.86,-80.0553,1.5,JUNO BEACH,,,,,,29.353846153846156,22.811764705882354,
USC00084500,2022,27.8703,-81.0436,18.6,KENANSVILLE,,34.0,,,,27.5,13.45,
USC00084500,2023,27.8703,-81.0436,18.6,KENANSVILLE,,0.0,,,,28.68,15.525,
USC00084500,2024,27.8703,-81.0436,18.6,KENANSVILLE,,45.77777777777778,,,,28.036842105263155,15.99,
USC00084571,2022,24.5533,-81.7881,1.2,KEY W WFO,,0.5,0.0,,,25.93333333333333,17.54285714285714,
USC00084571,2023,24.5533,-81.7881,1.2,KEY W WFO,,0.0,0.0,,,26.8,18.6,
USC00084571,2024,24.5533,-81.7881,1.2,KEY W WFO,,49.46153846153846,,,,29.65,23.863636363636363,
USC00084621,2022,27.6039,-81.0531,21.9,KISSIMMEE PRAIRIE PRESERVE,,2.5,,,,28.9,15.0,
USC00084621,2023,27.6039,-81.0531,21.9,KISSIMMEE PRAIRIE PRESERVE,,0.0,,,,29.1,16.3,
USC00084621,2024,27.6039,-81.0531,21.9,KISSIMMEE PRAIRIE PRESERVE,,13.0,,,,29.907142857142855,17.966666666666665,
USC00084625,2022,28.2764,-81.4239,18.3,KISSIMMEE 2,,38.166666666666664,,,,23.119999999999997,13.88888888888889,
USC00084625,2023,28.2764,-81.4239,18.3,KISSIMMEE 2,,0.0,,,,27.1625,15.0,
USC00084625,2024,28.2764,-81.4239,18.3,KISSIMMEE 2,,2.875,,,,28.65263157894737,17.31,
USC00084731,2022,30.1853,-82.5942,59.4,LAKE CITY 2 E,,5.666666666666666,0.0,0.0,,22.075,9.385714285714286,
USC00084731,2023,30.1853,-82.5942,59.4,LAKE CITY 2 E,,0.0,0.0,0.0,,23.144444444444446,13.5,
USC00084731,2024,30.1853,-82.5942,59.4,LAKE CITY 2 E,,7.625,0.0,0.0,,27.21818181818182,18.486666666666668,
USC00084802,2022,27.9944,-82.0139,42.4,LAKELAND 2,,0.0,0.0,0.0,,21.15,12.78,
USC00084802,2023,27.9944,-82.0139,42.4,LAKELAND 2,,0.0,0.0,0.0,,29.128571428571426,14.9,
USC00084802,2024,27.9944,-82.0139,42.4,LAKELAND 2,,15.931999999999999,0.0,0.0,,29.630000000000003,19.075,
USC00085076,2022,28.8728,-81.7844,20.7,LISBON,,22.25,,,,22.711111111111112,9.33,
USC00085076,2023,28.8728,-81.7844,20.7,LISBON,,0.0,,,,27.46,13.98,
USC00085076,2024,28.8728,-81.7844,20.7,LISBON,,20.0,,,,28.746153846153845,18.17142857142857,
USC00085099,2022,30.3075,-82.9936,40.2,LIVE OAK,,33.875,0.0,0.0,,24.175,10.085714285714285,
USC00085099,2023,30.3075,-82.9936,40.2,LIVE OAK,,0.0,0.0,0.0,,24.84285714285714,16.7,
USC00085099,2024,30.3075,-82.9936,40.2,LIVE OAK,,5.9,0.0,0.0,,30.514285714285716,17.866666666666667,
USC00085184,2022,26.4986,-80.2161,6.4,LOXAHATCHEE NWR,,29.8,,,,26.4,15.675,
USC00085184,2023,26.4986,-80.2161,6.4,LOXAHATCHEE NWR,,33.833333333333336,,,,29.06666666666667,15.485714285714286,
USC00085184,2024,26.4986,-80.2161,6.4,LOXAHATCHEE NWR,,10.823529411764707,,,,28.264285714285716,21.04285714285714,
USC00085359,2022,25.9492,-81.7139,3.0,MARCO IS,,0.0,,,,28.325,15.65,
USC00085359,2023,25.9492,-81.7139,3.0,MARCO IS,,0.0,,,,26.95,17.928571428571427,
USC00085359,2024,25.9492,-81.7139,3.0,MARCO IS,,13.125,,,,30.855555555555554,18.2,
USC00085377,2023,30.7342,-85.0306,35.1,MARIANNA 7 NE,,9.775,0.0,0.0,,26.7,44.0,
USC00085377,2024,30.7342,-85.0306,35.1,MARIANNA 7 NE,,38.09090909090909,0.0,0.0,,28.618181818181817,17.5,
USC00085539,2022,30.06,-83.1719,25.3,MAYO,,20.25,0.0,0.0,,25.95,8.175,
USC00085539,2023,30.06,-83.1719,25.3,MAYO,,0.0,0.0,0.0,,26.7,6.014285714285714,
USC00085539,2024,30.06,-83.1719,25.3,MAYO,,8.836842105263157,0.0,0.0,,27.78333333333333,11.692857142857143,
USC00085612,2022,28.1136,-80.6539,10.7,MELBOURNE WFO,,8.0,,,,26.95,15.366666666666665,
USC00085612,2023,28.1136,-80.6539,10.7,MELBOURNE WFO,,0.0,,,,26.0,16.675,
USC00085612,2024,28.1136,-80.6539,10.7,MELBOURNE WFO,,22.916666666666668,,,,25.864285714285717,20.006666666666668,
USC00085667,2022,25.7553,-80.3836,4.3,MIAMI NWSFO,,23.4,0.0,0.0,,27.75,21.65,
USC00085667,2023,25.7553,-80.3836,4.3,MIAMI NWSFO,,7.85,0.0,0.0,,27.78,20.4,
USC00085667,2024,25.7553,-80.3836,4.3,MIAMI NWSFO,,7.894444444444444,0.0,0.0,,30.01,21.81818181818182,
USC00085880,2022,30.4406,-83.9858,66.8,MONTICELLO 10 SW,,31.333333333333332,0.0,0.0,,22.35,10.87142857142857,
USC00085880,2023,30.4406,-83.9858,66.8,MONTICELLO 10 SW,,14.225,0.0,0.0,,20.975,9.533333333333333,
USC00085880,2024,30.4406,-83.9858,66.8,MONTICELLO 10 SW,,6.021428571428571,0.0,0.0,,25.869230769230768,9.120000000000001,
USC00085895,2022,26.84,-81.0872,10.7,MOORE HAVEN LOCK 1,,3.3333333333333335,,,,32.25,22.0,
USC00085895,2023,26.84,-81.0872,10.7,MOORE HAVEN LOCK 1,,0.0,,,,28.560000000000002,15.414285714285715,
USC00085895,2024,26.84,-81.0872,10.7,MOORE HAVEN LOCK 1,,19.466666666666665,,,,27.7,18.99375,
USC00085973,2022,27.9378,-81.5992,38.1,MTN LAKE,,0.0,0.0,0.0,,27.575,14.330000000000002,
USC00085973,2023,27.9378,-81.5992,38.1,MTN LAKE,,18.666666666666668,0.0,0.0,,31.133333333333333,15.366666666666665,
USC00085973,2024,27.9378,-81.5992,38.1,MTN LAKE,,38.1764705882353,0.0,0.0,,29.55263157894737,13.7,
USC00086065,2022,27.24,-82.3153,5.8,MYAKKA RVR SP,,0.0,0.0,0.0,,26.78,6.666666666666667,
USC00086065,2023,27.24,-82.3153,5.8,MYAKKA RVR SP,,32.5,0.0,0.0,,29.1,12.685714285714287,
USC00086065,2024,27.24,-82.3153,5.8,MYAKKA RVR SP,,6.7772727272727264,0.0,0.0,,29.052173913043482,14.976470588235292,
USC00086078,2022,26.1653,-81.6842,12.2,NAPLES,,6.171428571428572,,,,28.7,17.066666666666666,
USC00086078,2024,26.1653,-81.6842,12.2,NAPLES,,8.09,,,,29.815384615384612,18.105882352941176,
USC00086092,2022,27.2878,-80.2214,3.0,NETTLES IS,,0.0,,,,24.85,16.316666666666666,
USC00086092,2023,27.2878,-80.2214,3.0,NETTLES IS,,14.333333333333334,,,,26.77,18.511111111111113,
USC00086092,2024,27.2878,-80.2214,3.0,NETTLES IS,,22.41176470588235,,,,26.877777777777776,17.966666666666665,
USC00086240,2022,30.5317,-86.4928,22.6,NICEVILLE,,0.0,,,,19.371428571428574,7.1,
USC00086240,2023,30.5317,-86.4928,22.6,NICEVILLE,,9.5,,,,21.114285714285714,13.8,
USC00086240,2024,30.5317,-86.4928,22.6,NICEVILLE,,29.61904761904762,,,,24.788888888888888,13.123076923076923,
USC00086315,2022,25.95,-80.2158,3.0,N MIAMI BEACH #2,,19.333333333333332,,,,26.8875,15.275,
USC00086315,2023,25.95,-80.2158,3.0,N MIAMI BEACH #2,,0.5,,,,22.2,15.0,
USC00086315,2024,25.95,-80.2158,3.0,N MIAMI BEACH #2,,11.785714285714286,,,,28.413333333333334,21.914285714285715,
USC00086319,2023,27.0475,-82.2369,3.7,N PORT,,3.8333333333333335,0.0,0.0,,26.95,18.133333333333333,
USC00086319,2024,27.0475,-82.2369,3.7,N PORT,,7.133333333333333,0.0,0.0,,28.964705882352938,20.321052631578947,
